NU_ANO_CENSO;NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_DEPENDENCIA;TP_CATEGORIA_ESCOLA_PRIVADA;TP_LOCALIZACAO;DS_ENDERECO;NU_ENDERECO;DS_COMPLEMENTO;NO_BAIRRO;CO_CEP;TP_SITUACAO_FUNCIONAMENTO;Qtd_Prof;Qtd_Matri_Inf;Qtd_Matri_Fund;Qtd_Matri_Med;Qtd_Matri_Prof;Qtd_Matri_Eja;Qtd_Matri_Esp;Latitude;Longitude;Precisao_Tipo
2024;Rio Grande;4315602;EMEF PROFESSORA ZENIR DE SOUZA BRAGA;43206069;3;0;1;RUA ANGELO TRINDADE;1888;JARDIM HUMAITA;VILA MARIA JOSE;96203160;1;17;52;834;0;0;0;102;-32,0918259;-52,1628874;ROOFTOP
2024;Rio Grande;4315602;EMEF SANT ANA;43113273;3;0;1;RUA COLOMBIA;586;;AMERICA;96212230;1;23;106;1464;0;0;0;326;-32,0547118;-52,13951609999999;ROOFTOP
2024;Rio Grande;4315602;EMEI ALCIDES BARCELOS;43189687;3;0;1;RUA MASCARENHAS DE MORAES;181;;GETULIO VARGAS;96201190;1;11;318;0;0;0;0;56;-32,0415518;-52,0819307;ROOFTOP
2024;Rio Grande;4315602;EMEI CASA DA CRIANCA DR AUGUSTO DUPRAT;43113281;3;0;1;RUA BENTO GONCALVES;179;;CIDADE NOVA;96211070;1;16;224;0;0;0;0;34;-32,0389417;-52,109401;ROOFTOP
2024;Rio Grande;4315602;EMEI FRATERNIDADE;43076378;3;0;1;AVENIDA DOM PEDRO II;225 A;;GETULIO VARGAS;96201010;1;14;590;0;0;0;0;122;-32,0357882;-52,0840672;RANGE_INTERPOLATED
2024;Rio Grande;4315602;EMEI LYONS CLUBE RIO GRANDE -CASSINO;43183158;3;0;1;RUA JUAN LLOPART;670;;VILA SANTA ROSA;96214400;1;7;272;0;0;0;0;50;-32,0783468;-52,1920464;ROOFTOP
2024;Rio Grande;4315602;EMEI NILZA ALVES GONCALVES;43065406;3;0;1;RUA HONORATO CARVALHO;SN;;VILA RURAL;96212340;1;13;314;0;0;0;0;76;-32,0493012;-52,1412867;GEOMETRIC_CENTER
2024;Rio Grande;4315602;EMEI OSCAR FERREIRO DE CAMPOS MORAES;43197884;3;0;1;RUA ALTAMIR DE LACERDA NASCIMENTO;904;;HIDRAULICA;96211280;1;1;196;0;0;0;0;40;-32,0502104;-52,1243916;ROOFTOP
2024;Rio Grande;4315602;EMEI PROF VERENICE FERREIRA GONCALVES;43089844;3;0;1;RUA ANGELO TRINDADE;1866;;JARDIM HUMAITA;96203160;1;19;266;0;0;0;0;42;-32,0888582;-52,16143839999999;ROOFTOP
2024;Rio Grande;4315602;EMEI PROFESSORA DEBORAH THOME SAYAO;43079849;3;0;1;AVENIDA ENGENHEIRA LUCIA MARIA BALBELA CHIESA;7270;ERS 734;BOLAXA;96217150;1;24;366;0;0;0;0;90;-32,1638035;-52,1836436;RANGE_INTERPOLATED
2024;Rio Grande;4315602;EMEI PROFESSORA MARIA DA GLORIA PINTO PEREIRA;43364187;3;0;1;RUA JUAN LLOPART;691;;VILA SANTA ROSA;96214400;1;15;334;0;0;0;0;52;-32,0808031;-52,1881089;RANGE_INTERPOLATED
2024;Rio Grande;4315602;EMEI PROFª DAISY MARIA GUMA PAGEL;43299113;3;0;1;RUA ONOFRIO AIKIM;588;;VILA NOSSA SENHORA DE FATIMA;96213440;1;15;400;0;0;0;0;46;-32,0690137;-52,180675;ROOFTOP
2024;Rio Grande;4315602;EMEI TIA LUIZINHA;43183190;3;0;1;RUA PANDIA CALOGERAS;898;;VILA SAO JOAO;96213022;1;11;326;0;0;0;0;78;-32,061718;-52,1667658;ROOFTOP
2024;Rio Grande;4315602;ESC ADVENT DE ENS FUND DE RIO GRANDE;43113826;4;1;1;RUA GENERAL VITORINO;742;A;CENTRO;96200310;1;15;84;1056;0;0;0;40;-32,0347392;-52,1047584;ROOFTOP
2024;Rio Grande;4315602;ESC EDUC ESP JOSE ALVARES DE AZEVEDO;43179860;4;4;1;RUA MAJOR MIGUEL PEREIRA;70;;PARQUE RESIDENCIAL SALGADO FILHO;96201520;1;9;0;18;0;0;135;102;-32,0407052;-52,0936635;ROOFTOP
2024;Rio Grande;4315602;ESC ENS MEDIO MASCARENHAS DE MORAES;43113648;2;0;1;R RUA DOMINGOS DE ALMEIDA 659;659;;CIDADE NOVA;96211580;1;14;0;0;1545;0;0;98;-32,0464085;-52,1149982;ROOFTOP
2024;Rio Grande;4315602;ESC ENSINO FUNDAMENTAL SAO LUIZ GONZAGA;43113354;4;2;1;AVENIDA CIDADE DE PELOTAS;355;;CIDADE NOVA;96211000;1;36;120;948;0;0;0;36;-32,0389481;-52,1143541;ROOFTOP
2024;Rio Grande;4315602;ESC EST ENS FUN 13 DE MAIO;43113621;2;0;1;R RUA DOM BOSCO 901;901;;COHAB II;96211434;1;13;0;747;0;0;0;18;-32,0470772;-52,1256833;ROOFTOP
2024;Rio Grande;4315602;ESC EST ENS FUN ADELAIDE ALVIM;43113419;2;0;1;R RUA PINTO BANDEIRA 267;267;;VILA JUNCAO;96212472;1;11;0;693;0;0;0;36;-32,0566647;-52,1461903;ROOFTOP
2024;Rio Grande;4315602;ESC EST ENS FUN AGNELLA DO NASCIMENTO;43113427;2;0;1;R MARECHAL DEODORO 249 CASA;249;CASA;CIDADE NOVA;96211480;1;10;0;465;0;0;0;18;-32,0340302;-52,1083637;ROOFTOP
2024;Rio Grande;4315602;ESC EST ENS FUN ALMIRANTE TAMANDARE;43113842;2;0;1;AV DOS ARQUIPELAGOS 111;111;;PARQUE MARINHA;96215000;1;11;0;840;0;0;0;26;-32,0932654;-52,1799389;ROOFTOP
2024;Rio Grande;4315602;ESC EST ENS FUN BARAO DE CERRO LARGO;43113664;2;0;1;AV COMEN VASCO VIEIRA DA FONSECA 723;723;;CENTRO;96200420;1;29;0;762;24;0;0;76;-32,029124;-52,1056294;ROOFTOP
2024;Rio Grande;4315602;ESC EST ENS FUN CEL JUVENCIO LEMOS;43113486;2;0;1;AV DOM PEDRO II SN;SN;;GETULIO VARGAS;96201010;1;14;0;975;0;0;0;70;-32,0360176;-52,082747;GEOMETRIC_CENTER
2024;Rio Grande;4315602;ESC EST ENS FUN DR PEDRO FRANCISCO BERTONI;43113494;2;0;2;R AREA RURAL 211;211;;DOMINGOS PETROLINI;96220899;1;3;0;165;0;0;0;8;-31,9945041;-52,2996641;RANGE_INTERPOLATED
2024;Rio Grande;4315602;ESC EST ENS FUN ERNESTO PEDROSO;43113508;2;0;1;R BORGES DE MEDEIROS SN;SN;;SANTA TEREZA;96200450;1;5;0;234;0;0;0;20;-32,0467635;-52,0851259;GEOMETRIC_CENTER
2024;Rio Grande;4315602;ESC EST ENS FUN GUARDA MARINHA GREENHALGH;43113516;2;0;1;R RUA CRISTOVAO JAQUES 369;369;;NOSSA SENHORA DOS NA;96202670;1;8;0;351;0;0;0;40;-32,042899;-52,097893;ROOFTOP
2024;Rio Grande;4315602;ESC EST ENS FUN IMPERIAL MARINHEIRO MARCILIO DIAS;43113524;2;0;1;R GAL VITORINO 67;67;;CENTRO;96200310;1;9;0;279;0;0;0;6;-32,0370131;-52,0896828;ROOFTOP
2024;Rio Grande;4315602;ESC EST ENS FUN MARECHAL EMILIO LUIZ MALLET;43112846;2;0;1;R AMAZONAS ESQ PERU SN;SN;;RURAL;96212140;1;10;0;294;0;0;36;0;-32,0452426;-52,0927799;GEOMETRIC_CENTER
2024;Rio Grande;4315602;ESC EST ENS FUN MARIO QUINTANA;43113532;2;0;1;R RUA JULIO FERREIRA DA SILVA SN;SN;;VILA MARIA JOSE/ TRE;96203670;1;2;0;72;0;0;0;0;-32,0878052;-52,1617198;GEOMETRIC_CENTER
2024;Rio Grande;4315602;ESC EST ENS FUN NOSSA SENHORA MEDIANEIRA;43113567;2;0;1;R RUA DOMINGOS DE ALMEIDA 655;655;;CIDADE NOVA;96211580;1;12;0;924;0;0;0;42;-32,04518770000001;-52,1158114;RANGE_INTERPOLATED
2024;Rio Grande;4315602;ESC EST ENS FUN SALDANHA DA GAMA;43113451;2;0;1;AV AVENIDA PRINCIPAL SN 4 S BARRA;SN;4 S BARRA;ZONA PORTUARIA;96204050;1;17;0;810;0;0;84;58;-32,1413628;-52,1064204;GEOMETRIC_CENTER
2024;Rio Grande;4315602;ESC EST ENS MED ALFREDO FERREIRA RODRIGUES;43113443;2;0;1;AV MAJOR ASSUNCAO 150;150;;POVO NOVO;96224080;1;17;0;798;423;0;0;168;-31,93787459999999;-52,3110888;APPROXIMATE
2024;Rio Grande;4315602;ESC EST ENS MED BIBIANO DE ALMEIDA;43113460;2;0;1;R GENERAL CANABARRO 321;321;;CENTRO;96200200;1;26;0;1245;1548;0;342;88;-32,0339777;-52,10225029999999;ROOFTOP
2024;Rio Grande;4315602;ESC EST ENS MED BRIGADEIRO JOSE DA SILVA PAES;43113478;2;0;1;R DR ISNARD POESTER PEIXOTO 220;220;;LAR GAUCHO;96202480;1;17;0;411;678;291;66;96;-32,0447351;-52,0938661;ROOFTOP
2024;Rio Grande;4315602;ESC EST ENS MED DR AUGUSTO DUPRAT;43113613;2;0;1;AV DOM PEDRO I I 260;260;;VILA MILITAR;96201010;1;16;0;750;270;0;0;26;-32,0346888;-52,0857238;ROOFTOP
2024;Rio Grande;4315602;ESC EST ENS MED DR JOSE MARIANO DE FREITAS BECK;43171400;2;0;1;R RUA EDUARDO ARAUJO 881;881;;VILA SAO JOAO;96213040;1;16;0;1065;351;0;0;102;-32,0604988;-52,167088;ROOFTOP
